name,slug,rating,website_url,image_url,categories,badges,featured,pricing_plans,status
"Candy AI","candy-ai",4.5,"https://t.mbsrv2.com/388589/7793?popUnder=true&source=companionguide&aff_sub5=SF_006OG000004lmDN","/images/logos/candy-ai.png",ai-girlfriend,Featured;Popular;Leader,true,"[{""name"":""Free Plan"",""price"":0,""period"":""free"",""features"":[""1 AI girlfriend companion"",""5 messages per day"",""Limited customization options"",""Text conversations only"",""Standard response time"",""Web access only"",""Ads supported""]},{""name"":""Basic Plan"",""price"":12.99,""period"":""monthly"",""features"":[""1 AI girlfriend companion"",""Daily conversation limits"",""Basic customization options"",""Text conversations"",""Standard response time"",""Mobile app access""]},{""name"":""Premium Plan"",""price"":25.99,""period"":""monthly"",""features"":[""Multiple AI girlfriends"",""Unlimited conversations"",""Advanced customization"",""Voice messages"",""Interactive activities"",""Priority response time"",""Exclusive content access"",""Ad-free experience""]},{""name"":""Deluxe Plan"",""price"":49.99,""period"":""monthly"",""features"":[""All Premium features"",""Unlimited AI girlfriends"",""Advanced AI personality engine"",""Custom voice options"",""Exclusive deluxe content"",""Priority customer support"",""Early access to new features"",""Maximum customization""]}]","active"
"Caveduck","caveduck",3.1,"https://caveduck.io","/images/logos/caveduck.svg",roleplaying;image-gen,,false,"[{""name"":""Free Plan"",""price"":0,""period"":""free"",""features"":[""Free trial access"",""Basic character chat"",""Limited daily interactions"",""Community character access""]},{""name"":""Premium (Points)"",""price"":0,""period"":""free"",""features"":[""AI image generation"",""Unlimited character creation"",""Enhanced interaction features"",""Priority response times"",""Advanced customization options""]}]","active"
"Chai AI","chai-ai",4.1,"https://chai.ml","/images/logos/chai-ai.png",roleplaying,,false,"[{""name"":""Free"",""price"":0,""period"":""free"",""features"":[""Limited daily messages"",""Access to popular characters"",""Basic chat features"",""Community character discovery"",""Character rating system"",""Mobile app access""]},{""name"":""Chai Premium"",""price"":13.99,""period"":""monthly"",""features"":[""Unlimited messages"",""Access to all characters"",""Premium-only characters"",""Advanced chat games"",""Priority response time"",""Enhanced customization"",""Ad-free experience"",""Early access to new features""]},{""name"":""Annual Plan"",""price"":99.99,""period"":""monthly"",""features"":[""All Premium features"",""40% discount vs monthly"",""Only $8.33/month"",""Full year commitment"",""Maximum savings"",""Same premium experience""]}]","active"
"Character.AI","character-ai",3.7,"https://character.ai","/images/logos/character-ai.png",roleplaying,,false,"[{""name"":""Free Plan"",""price"":0,""period"":""free"",""features"":[""Limited daily messages"",""Access to all public characters"",""Create up to 10 characters"",""Basic chat features""]},{""name"":""Premium (c.ai+)"",""price"":9.99,""period"":""monthly"",""features"":[""Unlimited messages"",""Priority access (faster responses)"",""Voice calls with characters"",""Image generation"",""Create unlimited characters"",""Skip waiting rooms""]}]","active"
"Cuties AI","cuties-ai",4.3,"https://t.mbsrv2.com/388589/9246/0?source=companionguide&aff_sub5=SF_006OG000004lmDN","/images/logos/cuties-ai.png",ai-girlfriend;nsfw;image-gen,Adult,false,"[{""name"":""Free Trial"",""price"":0,""period"":""free"",""features"":[""Limited daily messages"",""Basic customization options"",""Try AI girlfriend generator"",""Experience NSFW conversations"",""Test image generation features""]},{""name"":""Premium Plan"",""price"":9.99,""period"":""monthly"",""features"":[""Unlimited messaging and conversations"",""Full customization capabilities"",""Advanced AI image generation"",""Realistic voice messages"",""Premium personality options"",""Discrete billing protection"",""Priority customer support""]},{""name"":""VIP Plan"",""price"":19.99,""period"":""monthly"",""features"":[""All Premium features included"",""Enhanced image generation quality"",""Exclusive character templates"",""Advanced video generation features"",""Priority response times"",""VIP customer support"",""Early access to new features""]}]","active"
"DreamGF AI","dreamgf-ai",4.2,"https://t.mbsrv2.com/388589/6523?popUnder=true&source=companionguide&aff_sub5=SF_006OG000004lmDN","/images/logos/dreamgf-ai.svg",ai-girlfriend;image-gen,,false,"[{""name"":""Monthly Plan"",""price"":12.99,""period"":""monthly"",""features"":[""Unlimited chat messages"",""150 tokens monthly"",""All image generation styles"",""Voice message feature"",""Memory system access"",""Daily reward system""]},{""name"":""Annual Plan"",""price"":5.99,""period"":""monthly"",""features"":[""All monthly plan features"",""Significant cost savings"",""Priority customer support"",""Extended token allowance""]}]","active"
"FantasyGF","fantasygf-ai",4.2,"https://fantasygf.com/create-ai-girl?via=53hyme","/images/logos/fantasygf-ai.png",ai-girlfriend;video;roleplaying,Featured,true,"[{""name"":""Free Plan"",""price"":0,""period"":""free"",""features"":[""Limited daily conversations"",""Basic AI girlfriend interaction"",""Standard customization options"",""Community features access"",""Basic voice interaction"",""Limited XP rewards""]},{""name"":""Premium Plan"",""price"":12.99,""period"":""monthly"",""features"":[""Unlimited messaging"",""All voice options (24 voices)"",""Kiss video generator"",""Full XP reward system"",""Complete customization"",""Premium voice interactions"",""Anonymous billing"",""Priority customer support""]}]","active"
"GirlfriendGPT","girlfriend-gpt",4.6,"https://t.mbsrv2.com/388589/7477?popUnder=true&source=companionguide&aff_sub5=SF_006OG000004lmDN","/images/logos/girlfriend-gpt.png",ai-girlfriend;nsfw;roleplaying,Featured;Popular;Adult,true,"[{""name"":""Free Tier"",""price"":0,""period"":""free"",""features"":[""Limited AI character interactions"",""Basic conversation features"",""Access to some character types"",""Limited image generation"",""Community features""]},{""name"":""Deluxe Plan"",""price"":14.99,""period"":""monthly"",""features"":[""Unlimited AI character interactions"",""Unlimited NSFW conversations"",""Unlimited image generation"",""Priority chat servers"",""All 100+ character categories"",""Voice chat features"",""Long-term conversation memory""]},{""name"":""Elite Plan"",""price"":24.99,""period"":""monthly"",""features"":[""Everything in Deluxe Plan"",""Premium AI model access"",""Advanced image generation"",""Priority support"",""Early access to new features"",""Custom character creation tools"",""Enhanced voice quality"",""Exclusive character content""]}]","active"
"Hammer AI","hammer-ai",4.7,"https://gumroad.com/a/748605075/zrsof","/images/logos/hammerai.png",roleplaying,Featured;Top Rated;Popular;Leader,true,"[{""name"":""Free 🔨"",""price"":0,""period"":""free"",""features"":[""✅ Unlimited conversations"",""✅ Unlimited characters"",""✅ Access to all local LLMs"",""✅ No ads (desktop has no ads)"",""✅ Prioritized feature requests"",""✅ Private Discord channel"",""✅ Cloud LLMs: Unlimited messages!"",""✅ Max Context Size: 4,096 tokens"",""✅ 11 Premium Cloud LLMs (Mistral-Nemo, Llama 3.1 70B, Midnight Rose 70B, and more)"",""✅ Cloud Image Generation: 20 images per hour"",""✅ 21 Image Models (Flux 1 Schnell, MajicMIX, Realistic Vision, and more)"",""✅ Cloud Text-to-Speech: 40 TTS per day""]},{""name"":""Starter 🥉"",""price"":9,""period"":""monthly"",""features"":[""✅ Unlimited conversations"",""✅ Unlimited characters"",""✅ Access to all local LLMs"",""✅ No ads (desktop has no ads)"",""✅ Prioritized feature requests"",""✅ Private Discord channel"",""✅ Cloud LLMs: Unlimited messages!"",""✅ Max Context Size: 4,096 tokens"",""✅ 11 Premium Cloud LLMs (Mistral-Nemo, Llama 3.1 70B, Midnight Rose 70B, Magnum v4 72B, WizardLM 2, and more)"",""✅ Cloud Image Generation: 20 images per hour"",""✅ 21 Image Models (Flux 1 Schnell, MajicMIX, Realistic Vision, and more)"",""✅ Cloud Text-to-Speech: 40 TTS per day""]},{""name"":""Advanced 🥈"",""price"":18,""period"":""monthly"",""features"":[""✅ Unlimited conversations"",""✅ Unlimited characters"",""✅ Access to all local LLMs"",""✅ No ads (desktop has no ads)"",""✅ Prioritized feature requests"",""✅ Private Discord channel"",""✅ Cloud LLMs: Unlimited messages!"",""✅ Max Context Size: 8,192 tokens (2x Free/Starter)"",""✅ 11 Premium Cloud LLMs (Same models as Starter)"",""⚠️ Cloud Image Generation: 10 images per hour (vs 20 in Starter)"",""✅ 21 Image Models (Same models as Starter)"",""✅ Cloud Text-to-Speech: 40 TTS per day""]},{""name"":""Ultimate 🥇"",""price"":35,""period"":""monthly"",""features"":[""✅ Unlimited conversations"",""✅ Unlimited characters"",""✅ Access to all local LLMs"",""✅ No ads (desktop has no ads)"",""✅ Prioritized feature requests"",""✅ Private Discord channel"",""✅ Cloud LLMs: Unlimited messages!"",""✅ Max Context Size: 30,720 tokens (7.5x Free/Starter)"",""✅ 11 Premium Cloud LLMs (Same models as all plans)"",""✅ Cloud Image Generation: 20 images per hour"",""✅ 21 Image Models (Same models as all plans)"",""✅ Cloud Text-to-Speech: 40 TTS per day""]}]","active"
"Janitor AI","janitor-ai",3.3,"https://janitorai.com","/images/logos/janitor-ai.webp",roleplaying;nsfw,Adult,false,"[{""name"":""Janitor AI Platform"",""price"":0,""period"":""free"",""features"":[""Unlimited character access"",""Character creation tools"",""Community features"",""Uncensored conversations"",""Advanced roleplay features"",""No subscription required""]},{""name"":""OpenAI API Costs"",""price"":0.002,""period"":""monthly"",""features"":[""~$0.002 per 1K tokens"",""Average conversation: $0.01-0.05"",""Heavy usage: $5-20/month"",""Direct payment to OpenAI"",""Usage-based pricing"",""No markup from Janitor AI""]},{""name"":""Alternative APIs"",""price"":0,""period"":""free"",""features"":[""Claude API (Anthropic)"",""Cohere API"",""Local AI models"",""Custom endpoints"",""Pricing varies by provider"",""Choose best value option""]}]","active"
"JOI AI","joi-ai",4.6,"https://t.mbsrv2.com/388589/7875?popUnder=true&source=companionguide&aff_sub5=SF_006OG000004lmDN","/images/logos/joi.png",roleplaying,Popular,false,"[{""name"":""Free Tier"",""price"":0,""period"":""free"",""features"":[""Limited AI character interactions"",""Basic customization options"",""Standard conversation features"",""Community character access""]},{""name"":""Premium Plan"",""price"":19.99,""period"":""monthly"",""features"":[""Unlimited AI character interactions"",""Full customization control"",""AI-generated images and videos"",""Priority access to new characters"",""Advanced personality settings"",""Premium digital celebrities""]},{""name"":""Enterprise"",""price"":0,""period"":""free"",""features"":[""Custom AI character development"",""White-label solutions"",""API access"",""Dedicated support"",""Custom integrations"",""Bulk user management""]}]","active"
